drift_pct,reduction,analysis,n_sim,probability_success,mcse_success,bias_delta,rmse_delta,mean_historical_posterior_weight,mean_nominal_borrowing_index,mean_sigma_estimate
-20,0,Concurrent controls,20000,0.05315,0.0015862704293404704,-8.980747901442016e-4,0.081843629455899,0,0,0.38990990222571154
-20,0,"Robust mixture: 10%, ESS <= 5",20000,0.06295,0.001717371501743289,-0.007658543905054185,0.08202847926659637,0.35591744021891236,1.7795872010945617,0.390877565973246
-20,0.2,Concurrent controls,20000,0.84665,0.0025478792897231217,0.004940929097968755,0.08133555659543895,0,0,0.39034911692037944
-20,0.2,"Robust mixture: 10%, ESS <= 5",20000,0.86240000000000006,0.0024358390751443326,-0.0018323818281329174,0.08106996420635196,0.35109259196789294,1.7554629598394647,0.39133037953215405
0,0,Concurrent controls,20000,0.05165,0.0015649644964023945,2.0257627814820718e-4,0.08183695028297336,0,0,0.3900005013592519
0,0,"Robust mixture: 10%, ESS <= 5",20000,0.04955,0.001534516169676944,2.153665559153397e-4,0.08004936183179291,0.520099553010913,2.600497765054565,0.3901473732901625
0,0.2,Concurrent controls,20000,0.84535,0.0025566910010793244,0.006079195775028301,0.08087959372574191,0,0,0.3901156629486087
0,0.2,"Robust mixture: 10%, ESS <= 5",20000,0.85395,0.002497192398474735,0.005915005597677686,0.07908213198457346,0.5202720079380763,2.6013600396903813,0.3902611717260293
20,0,Concurrent controls,20000,0.0506,0.0015498328942179541,1.6173918057254148e-4,0.08196669977426227,0,0,0.38971240472460406
20,0,"Robust mixture: 10%, ESS <= 5",20000,0.04285,0.0014320243974876965,0.00648855362565495,0.08158668217017383,0.4062107634682572,2.031053817341286,0.39049658732332343
20,0.2,Concurrent controls,20000,0.8434,0.0025697902638153174,0.005816289143646014,0.0817424451975491,0,0,0.3906241225935931
20,0.2,"Robust mixture: 10%, ESS <= 5",20000,0.829,0.002662320416478828,0.012148276709962852,0.08179907763832724,0.41037635696486363,2.0518817848243183,0.3913973090410191
