total_n,reduction,probability_success,mcse_success,bias_delta,n_sim
60,0,0.0332,0.0017915847733222115,3.862116888951583e-4,10000
60,0.15,0.317,0.004653074252577536,0.03130147964867844,10000
60,0.2,0.5099,0.004999019803921565,0.04394901388639333,10000
60,0.25,0.7183,0.0044982786707806355,0.056392823452269314,10000
60,0.3,0.8788,0.0032635955631787465,0.0711617633336265,10000
70,0,0.0313,0.0017412728103315689,0.0012651939810626592,10000
70,0.15,0.3598,0.004799416214499426,0.029190073034914193,10000
70,0.2,0.5748,0.004943733002499224,0.03886654324604635,10000
70,0.25,0.7937,0.004046483782248485,0.048577449046277504,10000
70,0.3,0.9288,0.0025715862808780117,0.06136393328318329,10000
80,0,0.0383,0.0019191954043296373,8.143249573903544e-5,10000
80,0.15,0.4028,0.004904611707362776,0.024880885899684513,10000
80,0.2,0.6337,0.004817928081655018,0.03466828304598221,10000
80,0.25,0.833,0.003729758705332022,0.04598532894453666,10000
80,0.3,0.9552,0.0020686459339384292,0.05606594898206452,10000
90,0,0.0391,0.0019383289194561382,6.227427746600286e-5,10000
90,0.15,0.4405,0.004964471270941146,0.023235917892759167,10000
90,0.2,0.6865,0.004639156712162244,0.0333597148025154,10000
90,0.25,0.8843,0.0031986483082702298,0.041477991564804195,10000
90,0.3,0.9695,0.0017195857059187243,0.05152371645830195,10000
100,0,0.0409,0.0019805855194865987,-5.32204540362061e-4,10000
100,0.15,0.4758,0.004994140166234825,0.022130199483609087,10000
100,0.2,0.7455,0.004355797860323639,0.027724334398258582,10000
100,0.25,0.9125,0.0028256636388643295,0.03584656424125976,10000
100,0.3,0.9821,0.001325880462183527,0.04652401985057786,10000
