missing_mechanism,day3_missing_rate,analysis,probability_success,mcse_success,achieved_day3_missingness,n_sim,n_per_arm,target_auc_reduction,effect_shape,day3_day5_correlation,treatment_prior_sd,posterior_cutoff,decision_rule
mar_deterioration,0,Model-based AUC,0.7692,0.00421344704487905,0,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0,Day-3 ANCOVA,0.5942,0.004910461892734736,0,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.1,Model-based AUC,0.7612,0.004263502785269408,0.1498825,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.1,Day-3 ANCOVA,0.472,0.004992153843783262,0.1498825,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.2,Model-based AUC,0.7597,0.004272656199602303,0.25381875,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.2,Day-3 ANCOVA,0.4093,0.004917046979641337,0.25381875,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.30000000000000004,Model-based AUC,0.7562,0.004293734505066656,0.3417725,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.30000000000000004,Day-3 ANCOVA,0.358,0.004794121400215059,0.3417725,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.4,Model-based AUC,0.7687,0.004216637404378043,0.42356375,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.4,Day-3 ANCOVA,0.3156,0.004647543867463759,0.42356375,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.5,Model-based AUC,0.7541,0.004306195420553972,0.49899,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_deterioration,0.5,Day-3 ANCOVA,0.2759,0.004469666542372037,0.49899,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0,Model-based AUC,0.7692,0.00421344704487905,0,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0,Day-3 ANCOVA,0.5942,0.004910461892734736,0,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.1,Model-based AUC,0.758,0.0042829429134649925,0.15015875,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.1,Day-3 ANCOVA,0.4735,0.004992972561510828,0.15015875,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.2,Model-based AUC,0.7617,0.004260435541115485,0.25412125,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.2,Day-3 ANCOVA,0.4115,0.0049210542569656755,0.25412125,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.30000000000000004,Model-based AUC,0.7548,0.004302057182325683,0.34220375,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.30000000000000004,Day-3 ANCOVA,0.3577,0.004793231790764974,0.34220375,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
mar_improvement,0.4,Model-based AUC,0.7694,0.004212168562628993,0.4239675,10000,40,0.2,immediate sustained,0.8,1,0.95,P(Delta < 0 | data) >= 0.95
